Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
System Idle Process	70.39	52 K	8 K	0		
System	1.04	152 K	148 K	4		
 Interrupts	0.52	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		460 K	1,220 K	316		
 Memory Compression		168 K	5,576 K	2536		
csrss.exe		1,660 K	4,680 K	420		
wininit.exe		1,296 K	6,052 K	500		
 services.exe	< 0.01	4,128 K	8,656 K	644		
  svchost.exe		872 K	3,708 K	780	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.02	9,560 K	24,620 K	804	Host Process for Windows Services	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	30,776 K	89,132 K	6180	Windows Shell Experience Host	Microsoft Corporation
   SearchUI.exe	Suspended	55,480 K	119,228 K	6292	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		5,668 K	27,864 K	6376	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		5,848 K	23,484 K	6432	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		6,616 K	24,028 K	6480	Runtime Broker	Microsoft Corporation
   ApplicationFrameHost.exe		8,208 K	27,820 K	6880	Application Frame Host	Microsoft Corporation
   dllhost.exe		3,560 K	12,616 K	1944	COM Surrogate	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,752 K	7,220 K	1224	Microsoft Skype	Microsoft Corporation
   SystemSettingsBroker.exe		2,424 K	13,928 K	6996	System Settings Broker	Microsoft Corporation
   SystemSettings.exe	0.01	20,812 K	66,836 K	8088	Settings	Microsoft Corporation
   WmiPrvSE.exe		2,344 K	8,432 K	6876		
   smartscreen.exe		12,692 K	26,576 K	5328	Windows Defender SmartScreen	Microsoft Corporation
   WmiPrvSE.exe		2,956 K	9,472 K	1500		
  svchost.exe	0.01	7,232 K	12,760 K	932	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,092 K	6,860 K	976	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		964 K	4,216 K	416	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	8,504 K	17,064 K	388	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,700 K	7,184 K	1232	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,536 K	11,928 K	1292	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,896 K	14,584 K	1352	Host Process for Windows Services	Microsoft Corporation
  SearchIndexer.exe		25,480 K	29,124 K	1436	Microsoft Windows Search Indexer	Microsoft Corporation
   SearchProtocolHost.exe		2,536 K	12,056 K	6208		
   SearchFilterHost.exe		1,824 K	8,444 K	3008		
  svchost.exe		1,812 K	7,152 K	1484	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	6,100 K	15,744 K	1556	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		16,504 K	17,756 K	1624	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,956 K	8,832 K	1696	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,160 K	7,116 K	1744	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,180 K	11,356 K	1828	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,708 K	10,960 K	1848	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,524 K	6,180 K	1896	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,236 K	9,520 K	2032	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,872 K	8,332 K	332	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,956 K	7,664 K	2176	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,448 K	14,136 K	2200	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe		6,904 K	17,204 K	1564	Host Process for Windows Tasks	Microsoft Corporation
  svchost.exe	< 0.01	1,952 K	6,812 K	2276	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,864 K	10,900 K	2392	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,684 K	7,340 K	2416	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		83,388 K	88,244 K	2428	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,280 K	5,416 K	2440	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,988 K	7,856 K	2504	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,452 K	5,780 K	2548	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,076 K	7,912 K	2560	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,160 K	8,348 K	2608	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		6,748 K	28,428 K	4540	Shell Infrastructure Host	Microsoft Corporation
  svchost.exe		2,276 K	12,428 K	2632	Host Process for Windows Services	Microsoft Corporation
  spoolsv.exe		8,364 K	24,452 K	2696	Spooler SubSystem App	Microsoft Corporation
  svchost.exe		1,980 K	7,504 K	2744	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		15,272 K	24,368 K	2832	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	15,132 K	23,308 K	2840	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		10,156 K	28,088 K	2848	Host Process for Windows Services	Microsoft Corporation
  SecurityHealthService.exe		4,144 K	15,076 K	2860	Windows Security Health Service	Microsoft Corporation
  svchost.exe		1,228 K	5,200 K	2880	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,564 K	19,788 K	2904	Host Process for Windows Services	Microsoft Corporation
